"산업분류","규모별",2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2
"산업분류","규모별",상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원)
"펄프, 종이 및 종이제품 제조업","5~9인",197.6,170.6,26.9,2500348,426947,60193,199.3,171.8,27.4,2504978,496856,135804,192.1,169.9,22.2,2631295,405187,45184
"펄프, 종이 및 종이제품 제조업","10~29인",175.7,160.7,15.0,2689790,302953,204724,185.5,163.0,22.5,2688088,430273,183166,184.3,161.7,22.6,2757491,434208,170911
"펄프, 종이 및 종이제품 제조업","30~99인",194.7,161.6,33.1,2772170,600228,132331,200.5,165.3,35.2,2848087,641501,152639,192.3,162.1,30.2,2921540,597398,163014
"펄프, 종이 및 종이제품 제조업","100~299인",196.4,159.4,37.0,2772105,820806,596970,197.7,162.1,35.6,2745248,858756,903055,195.9,160.2,35.7,2741932,805851,725368
"펄프, 종이 및 종이제품 제조업","300인이상",170.7,149.9,20.7,3710155,876559,1962271,170.8,149.7,21.0,3683210,882136,2741657,175.2,152.9,22.2,3758518,952186,1972375
"인쇄 및 기록매체 복제업","5~9인",163.6,159.3,4.4,2821978,70815,95866,164.7,163.0,1.7,2860516,21103,284796,165.8,162.6,3.2,3039161,41103,88082
"인쇄 및 기록매체 복제업","10~29인",177.0,156.8,20.3,2581176,338869,64785,178.7,157.8,20.9,2601661,375697,126561,181.2,159.1,22.1,2704467,424263,49917
"인쇄 및 기록매체 복제업","30~99인",175.0,154.3,20.6,2987702,412781,46713,179.7,159.3,20.4,2995724,404475,56872,184.3,160.6,23.6,3066551,477724,61934
"인쇄 및 기록매체 복제업","100~299인",184.3,153.7,30.6,2661930,775464,247177,188.6,155.5,33.0,2633578,769055,395432,189.2,156.5,32.8,2733296,798358,228215
"인쇄 및 기록매체 복제업","300인이상",,,,,,,,,,,,,,,,,,
"코크스, 연탄 및 석유정제품 제조업","5~9인",170.9,164.2,6.7,3556534,108826,177390,173.7,166.3,7.5,3615996,118729,289284,169.7,163.9,5.8,3584723,102108,133731
"코크스, 연탄 및 석유정제품 제조업","10~29인",172.0,161.4,10.6,3515681,198667,378885,176.5,164.7,11.8,3565870,223974,632832,175.2,163.0,12.2,3664002,234921,406313
"코크스, 연탄 및 석유정제품 제조업","30~99인",173.9,162.1,11.8,4154645,322072,1061335,174.8,163.2,11.6,4133887,316836,1201262,172.3,160.6,11.6,4366910,324968,934649
"코크스, 연탄 및 석유정제품 제조업","100~299인",168.3,156.1,12.2,4396617,636083,1837795,170.6,159.6,10.9,3871535,514252,2356294,166.4,156.0,10.5,4327707,527168,1964804
"코크스, 연탄 및 석유정제품 제조업","300인이상",170.6,156.1,14.5,4033343,842406,4221362,170.5,153.8,16.6,3694983,863540,3247396,170.4,153.0,17.5,4161933,950507,3121834
"화학 물질 및 화학제품 제조업; 의약품 제외","5~9인",161.0,156.2,4.8,3196866,109775,229846,161.8,157.1,4.7,3218159,122822,190372,162.8,157.3,5.5,3307728,117572,256631
"화학 물질 및 화학제품 제조업; 의약품 제외","10~29인",173.2,158.2,15.0,3291485,273103,215544,173.0,159.0,14.0,3324819,278610,301608,173.8,159.7,14.1,3382686,302915,176977
"화학 물질 및 화학제품 제조업; 의약품 제외","30~99인",179.1,159.4,19.7,3338965,457428,438244,180.3,161.9,18.4,3370675,448578,483123,180.2,160.8,19.4,3387294,478176,468770
"화학 물질 및 화학제품 제조업; 의약품 제외","100~299인",179.8,158.0,21.8,3645869,774527,1367529,181.6,159.3,22.3,3831300,811675,1334242,181.6,158.7,22.9,3744881,813287,1501815
"화학 물질 및 화학제품 제조업; 의약품 제외","300인이상",178.3,157.2,21.2,3914989,990576,1888720,179.7,158.2,21.5,3984349,1017443,1780464,179.4,157.4,21.9,4062490,1068683,2150196
"의료용 물질 및 의약품 제조업","5~9인",165.1,162.5,2.5,2805788,43330,40052,168.0,165.8,2.2,2849813,32802,54307,163.2,160.6,2.6,2868325,39759,40170
"의료용 물질 및 의약품 제조업","10~29인",166.7,158.9,7.8,3158180,195144,176154,167.6,161.2,6.4,3065697,197241,108972,165.2,160.0,5.2,3269959,166727,172768
"의료용 물질 및 의약품 제조업","30~99인",170.9,160.1,10.8,3439636,257050,289006,170.6,160.9,9.7,3400650,235323,348043,168.5,158.8,9.7,3489156,235616,264800
"의료용 물질 및 의약품 제조업","100~299인",168.9,156.2,12.7,3368096,352267,732944,167.1,155.2,11.9,3376060,318104,586290,170.2,157.7,12.5,3517934,334982,737373
"의료용 물질 및 의약품 제조업","300인이상",168.2,154.6,13.5,3951232,346278,880912,168.6,154.1,14.5,3973911,380256,1565381,167.9,154.3,13.6,4018474,386087,588437
"고무 및 플라스틱제품 제조업","5~9인",163.9,159.6,4.3,2580421,68966,85262,167.0,162.3,4.7,2672852,72671,120147,169.4,162.0,7.4,2866171,115958,78006
"고무 및 플라스틱제품 제조업","10~29인",181.5,161.0,20.5,2734651,415757,122735,192.3,165.4,26.9,2831432,495034,195591,185.6,163.0,22.6,2897032,461869,126859
"고무 및 플라스틱제품 제조업","30~99인",181.5,157.4,24.1,2667234,449252,108881,187.6,157.9,29.7,2721495,552420,152322,186.7,158.7,28.0,2812708,532796,133564
"고무 및 플라스틱제품 제조업","100~299인",178.6,151.8,26.8,3061567,561776,599205,187.1,155.0,32.1,3115912,652070,712802,183.6,154.2,29.4,3178563,640409,619328
"고무 및 플라스틱제품 제조업","300인이상",166.2,145.0,21.3,3203851,627212,1122038,174.0,148.8,25.2,3295368,730648,1223735,179.4,151.3,28.1,3238013,801986,1186725
"비금속 광물제품 제조업","5~9인",173.6,165.7,8.0,3232636,143078,113200,177.7,169.5,8.2,3316038,155241,165928,176.3,167.7,8.5,3370706,159265,113924
"비금속 광물제품 제조업","10~29인",180.7,163.2,17.5,3285855,335520,200178,183.3,166.3,17.0,3340289,329535,361432,180.1,163.0,17.1,3417506,335189,250041
"비금속 광물제품 제조업","30~99인",181.0,155.7,25.3,2761851,448288,256654,193.0,164.7,28.3,2856666,489795,323519,188.9,160.8,28.1,2940638,499702,244567
"비금속 광물제품 제조업","100~299인",180.5,155.2,25.3,3583058,489984,1203153,180.2,155.1,25.1,3543076,503628,1359380,184.3,158.0,26.3,3679896,546050,993422
"비금속 광물제품 제조업","300인이상",176.6,152.4,24.2,3906025,795277,1231703,179.1,153.4,25.6,3860106,788430,1754302,179.1,153.4,25.7,4006186,802947,1242326
"1차 금속 제조업","5~9인",175.1,167.8,7.3,3014623,106696,130691,171.8,166.2,5.6,3005378,86605,263692,175.3,169.1,6.2,3050862,112454,166186
"1차 금속 제조업","10~29인",177.9,163.0,14.9,3179992,257425,97670,181.0,164.3,16.7,3216390,280484,249336,177.4,160.8,16.5,3284558,300037,106760
"1차 금속 제조업","30~99인",182.8,154.9,27.9,3097516,573117,345347,184.7,156.1,28.6,3180192,561951,417577,186.5,159.0,27.5,3199223,566111,305597
"1차 금속 제조업","100~299인",177.0,153.2,23.8,3281168,603339,533542,177.9,154.7,23.2,3324542,582428,571322,182.3,156.5,25.8,3356651,664522,672097
"1차 금속 제조업","300인이상",173.8,151.9,21.9,3451023,671989,2352667,171.0,150.1,21.0,3501545,634659,2311292,175.2,152.6,22.6,3525356,713352,2384803
"금속 가공제품 제조업; 기계 및 가구 제외","5~9인",173.6,166.0,7.6,2911358,181251,104340,171.4,165.6,5.8,2858447,126840,144121,174.8,166.0,8.8,2932386,187857,120348
"금속 가공제품 제조업; 기계 및 가구 제외","10~29인",175.4,161.2,14.1,2944213,254000,82952,178.8,160.8,18.0,2974893,318522,128945,178.4,160.4,18.0,2997464,317451,74869
"금속 가공제품 제조업; 기계 및 가구 제외","30~99인",183.6,158.5,25.1,2926535,546611,252269,186.2,157.1,29.2,2936301,607403,293087,181.6,155.9,25.6,3053757,588798,217125
"금속 가공제품 제조업; 기계 및 가구 제외","100~299인",180.9,157.1,23.8,2968803,585891,248193,183.5,158.3,25.3,2936375,665848,387637,186.1,159.5,26.7,3065846,741928,410636
"금속 가공제품 제조업; 기계 및 가구 제외","300인이상",175.9,152.1,23.8,3406074,567101,934702,176.3,151.2,25.1,3312059,591978,1009013,182.7,153.8,28.9,3497551,675829,926851
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","5~9인",165.5,160.0,5.4,2921886,144784,126837,168.9,162.5,6.4,2931524,129480,206893,161.4,157.5,3.9,3014855,100107,164463
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","10~29인",168.5,159.2,9.2,3450228,153938,123802,169.8,160.3,9.6,3516309,163971,481110,166.7,156.9,9.8,3601366,170242,96514
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","30~99인",171.5,155.6,15.8,3178529,332841,237458,176.6,159.5,17.1,3302300,375833,529702,173.0,157.0,15.9,3414447,369133,254557
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","100~299인",176.5,153.6,22.9,3083979,486834,390393,178.7,154.9,23.7,3071966,526076,414598,176.4,155.1,21.4,3146671,515462,409609
