기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
한울생약㈜,                                2022년 1분기 부문별 신규사원 공개채용,신입·경력,학력무관,경기,경기 파주시,~01/15(토),"화장품, ERP, 물티슈, 분석기기, 위생용품, 의약외품, GMP, GC, HPLC, QC, WMS, 물티슈(화장품) 포장기 조작, 화장품매장, 화공, 화학, 화장품, 경영기획, 기획, 기획조사, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 전략, 관리, 문서관리, 사무관리, 경리, 경영지원, 회계, 물류, 자재관리, 자재구매, 자재구매기획, 자재통합, 창고관리, 지게차운전, 구매관리, 물류관리, 상품입출고, 자재관리, 재고관리, ISO, QA, 기능직, 생산직, 제조, 기술직, 생산기술, 화장품, 의료, 제약, 의약품"
한울생약㈜,                                마케터 및 OEM 영업 신규채용,신입·경력,학력무관,서울,서울 마포구 외,~01/15(토),"기초화장품, 마스크팩, 브랜드 마케터, 유튜브, 인플루언서, 퍼포먼스 마케터, 화장품BM, naver, ODM, ODM 영업, OEM, yt, 신규 OEM, 화장품매장, 화공, 화학, 화장품, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 판촉, 프로모션, BM, 브랜드, 이벤트, 프로모션, 홍보, 홍보기획, SNS운영, 국내영업, 납품영업, 법인영업, 일반영업, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 매출관리, 영업관리, 영업기획, 영업지원, 컨텐츠기획, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, 카페·블로그관리, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 화장품"
㈜씨엠아이파트너스,                                [씨엠아이파트너스/무무즈] 각 부문별 경력 인력 채용,경력3년↑,고졸↑,서울,서울 전지역 외,~03/15(화),"소셜커머스, 쇼핑몰, 오픈마켓, 전자상거래, B2C, 마케팅, 웹서비스기획, UI·UX디자인"
닥터한코스메딕의원,                                [주5일] 피부관리사 / 간호조무사 채용,신입·경력,학력무관,경기 외,경기 평택시 외,상시채용,"간호, 간호조무, 상담실장, 원무, 코디네이터, 피부과, 한의과, 리셉션, 안내, 안내데스크, 인포메이션, 컨시어지, 고객응대, 고객지원, 미용강사, 뷰티매니저, 코디네이터, 피부관리, 간호조무사, 수술실보조, 안내, 코디네이터, 원무행정"
에스아이지콤비블록코리아㈜,                                [외국계 기업]Key Account Manager (영업 및 영업관리)/기술 엔지니어 (Field Service Engineer) 채용,경력3년↑,대졸↑,서울,서울 서초구,~01/06(목),"무역업, 전기, 전자, PLC, 마케팅, 마케팅기획, 시장분석, 프로모션, 무역일반, 영어, 해외마케팅, 해외영업, MD, 무역, 무역사, 무역영어, 수출입무역, 기술영업, 납품영업, 법인영업, 일반영업, 기술영업, 자동화설비영업, 영업관리, 영업기획, 영업지원, 공정엔지니어, 유지보수, 전기, 전기설비, PLC"
㈜아이캠퍼,                                [2021년 각부문] 경력직 공개채용,경력1년↑,대졸↑,경기 외,경기,~01/14(금),"UI·UX디자인, 레저, 자동차, 기획, 기획조사, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 인수·합병, 전략, 타당성분석, 관리, 시설관리, 총무, 결산, 세무, 외환, 자금, 재무회계, 사보제작, 홍보, 홍보기획, SNS운영, 무역일반, 바이어개발, 바이어관리, 바이어상담, 해외마케팅, 해외영업, 무역, 무역사, 무역사무, 무역영어, 무역중개인, 수출입무역, 오더관리, 통관, 국내영업, 납품영업, 일반영업, 장비영업, 해외영업, 거래처관리, 납품관리, 영업관리, 영업기획, 외주관리, Oracle, 웹기획, 웹서비스기획, 정보설계, 제안·컨설팅, 컨텐츠기획, HTML, Java, Java, Oracle, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, CSS3, HTML코딩, UI·UX, 일러스트레이터, 자바스크립트, 포토샵, CSS, HTML, UI·UX디자인, 방송CG, 영상편집, 프리미어, 인코딩, 기구설계, 기계설계, 기구설계, 광고디자인, 시각디자인, 영상디자인, 방송CG, 영상편집, 촬영보조, 카메라, 포토샵, 프리미어, 감정평가, 부동산, 부동산개발, 정보통신·IT"
진스크립트바이오테크코리아(유),                                영업기술지원 매니저 채용,신입,석사↑,서울,서울 서초구 외,~01/14(금),"biotech, 건강, 바이오, 보건, 생명공학, 의약, 제약, 국내영업, 기술영업, 납품영업, 법인영업, 일반영업, 제약영업, 해외영업, 기술영업, 기술지원, 가맹점관리, 거래처관리, 고객관리, 납품관리, 매출관리, 영업관리, 영업지원, 기술영업, 법인영업, 상조영업, 일반영업, 제약영업, 고객관리, 단순홍보, 제품홍보, 홍보상담, 회원관리, 바이오, 의료, 제약, 의약품, 기술지원, 유지보수"
위더스애드,"                                디지털종합광고대행사 AE, PD, CW, AD, 포토그래퍼, 모션그래픽디자이너, 경영지원, 인사총무 채용",신입·경력,학력무관,서울,서울 구로구 외,~01/02(일),"광고영업, 광고대행사, 광고영상, 디지털캠페인, 디지털광고, 모션그래픽 디자이너, 모션그래픽디자이너, 어도비, 에프터이팩트, 영상콘텐츠기획, 유튜브, 인사이트도출, 카피, 프리젠테이션, 홍보영상, AD, C4D, Sketch, SNS기획, UI·UX디자인, 유튜브영상, 디지털캠패인, 디지털캠패인광고, 카피 작가, 광고기획, 광고대행, 광고디자인, 광고제작, 온라인광고, 경영기획, 경영혁신, 변화관리, 사업기획, 사업제휴, 전략, 교육, 교육기획, 급여관리, 보상·승진, 성과관리, 인사, 인사기획, 인재개발, 4대보험, 결산, 경영지원, 관리회계, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 프로모션, AE, IMC, 검색광고, 광고영업, 매체광고영업, 온라인광고영업, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, 일러스트레이터, 포토샵, Sketch, UI·UX디자인, 인공지능(AI), 빅데이터, 데이터분석, 그래픽디자인, 일러스트레이터, 포토샵, 모션그래픽, 애니메이션, 애니메이터, 캐릭터디자인, 방송기획, AD·조연출, FD·연출보조, PD·연출, 사진촬영기사, 촬영보조, 카메라, 포토그래퍼, 포토샵, 광고기획, 광고제작, 광고PD, 카피라이터, AE, SIGN"
아크랜드서비스코리아 주식회사,                                [정통 일식 텐동 하마다] 직영점 신입 매장직 정규사원 채용,경력무관,학력무관,서울,서울 전지역 외,~12/31(금),"매니저, 웨이터, 웨이트리스, 캐셔, 홀써빙, 돈카츠, 카쯔야, 아크랜드서비스코리아, 메뉴개발, 메뉴기획, 양식당, 일식당, 점포개발, 카페, 케이터링, 퓨전푸드, 프랜차이즈, 한식당, 패밀리레스토랑, 고객관리, 매출관리, 영업관리, 영업지원, 계산원, 매장관리, 매장시설관리, 매출관리, 샵마스터, 예약, 캐셔, 텔러, 판매관리, 판매영업, 프런트, 홀써빙, 매니저, 일식, 조리사, 주방보조, Chef, 서빙, 카운터"
정상어학원,"                                [ 수원/파주운정 ] 초등,중등부 영어강사/교수팀장 및 상담실장/행정직원 채용",신입·경력,대졸↑,경기,경기 수원시 외,~01/13(목),"초중고등학교, 어학원, 영어학원, 입시학원, 학원강사, 영어, 초등학교교사, 중고등학교교사, 보조교사, 영어, 영어강사, 일반학원강사, 입시학원강사, 파트강사, 교육상담, 수강생관리, 안내상담, 프로그램상담, 학원운영, 회원관리, 영어, 영어강사, 일반학원강사, TEPS, TOEFL, TOEIC, 교육기획, 교육진행, 교육행정, 교육프로그램"
더스킨팩토리,                                쿤달 KUNDAL 신입/경력 사원 채용,신입·경력,초대졸↑,서울,서울 강남구 외,~01/08(토),"3PL, 화장품, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 프로모션, CRM, 광고관리, 브랜드, 사보기자, 사보제작, 언론홍보, 이벤트, 프로모션, 홍보, 홍보기획, PR, SNS운영, 물류, 자재관리, 자재구매, 납품, 물류, 물류관리, 재고관리, 창고관리, 택배, 구매관리, 물류관리, 물류센터, 자재관리, 재고관리, SCM, 가맹점관리(SV), 물류, 물류관리, 상품기획, 슈퍼바이저, 온라인MD, 재고관리, 창고관리, 프랜차이즈, MD, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리, 채권관리, 데이터베이스, MySQL, SQL, 데이터마이닝, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, Python, SQL, Python, SQL, 시스템프로그래머, 게시판관리, 쇼핑몰, 웹사이트운영, 카페·블로그관리, 컨텐츠개발, 컨텐츠관리, 웹접근성, 웹퍼블리셔, 웹표준, 일러스트레이터, 포토샵, Python, 빅데이터, 데이터분석, 3D, 그래픽디자인, 디렉터, 시각디자인, 일러스트레이터, 코렐드로우, 포토샵, 제품디자인, 설문조사, 시장조사, 조사분석, 통계"
태성지엘,                                [신입 3명 채용] 부동산 배우며 일하실 분                            ,신입·경력,학력무관,서울 외,서울 광진구 외,~12/31(금),"부동산운용, 부동산투자, 투자상담, 보험영업, 펀드매니저, 가맹점영업, 국내영업, 법인영업, 일반영업, 부동산영업, 고객상담, 고객응대, 고객지원, 부동산, 견적·시세, 경매입찰, 공인중개사, 매입·매각, 모델하우스, 부동산, 부동산개발, 부동산경매, 부동산시행, 부동산컨설팅, 분양대행, 분양상담사, 아파트·빌라, 양도·양수, 임대·임대컨설팅, 주택관리사, 상가·사무실, 영업·홍보"
㈜피알앤,                                2021년 하반기 직원채용공고                            ,경력2년↑,학력무관,서울 외,서울 영등포구 외,상시채용,"오프라인영업, Sketch, UI·UX디자인, 상품BM, 보건, 의약, 화장품, 상품기획, 쇼핑몰, 오픈마켓, 전자상거래, B2B, 화장품, 물류, 배차, 외자구매, 원부자재관리, 원부자재구매, 자재관리, 자재구매, 자재구매기획, 자재통합, 창고관리, 리테일MD, 상품기획, 상품입출고, 온라인MD, 유통관리, 재고관리, MD, VMD, AMD, 고객상담, 고객응대, 고객지원, 인터넷쇼핑몰, 홈쇼핑업체, CS, 쇼핑몰, 웹사이트운영, 카페·블로그관리, 컨텐츠관리, 컨텐츠에디터, 기술연구소, 연구관리, 연구원, 제품개발, 화장품, R&D, 산업디자인, 제품디자인, 패키지디자인, 포장디자인, Sign디자인, 영상편집, 조명, 포토그래퍼, 연구·실험·기술, 의료·제약, 화학·섬유"
㈜리플라,                                ㈜리플라 분야별 신입 / 경력 수시 채용,신입·경력,학력무관,경기,경기 수원시,~03/10(목),"연구소, 연구원, 경영기획, 경영혁신, 기획, 기획조사, 변화관리, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 인수·합병, 전략, 조직관리, 출판기획, 타당성분석, 공무, 관리, 문서관리, 문서수발, 법무, 사무관리, 인허가업무, 자산관리, 웹프로그래머, asp, ASP.NET, HTML, Java, jsp, mHTML, MS-SQL, Python, .NET, 응용프로그래머, 플래시APP, ActiveX, API, Application, ASP.NET, C, C#, C++, CTI, Java, Linux, Oracle, Python, SQL, Unix, 공정관리, 생산관리, 안전, 원가관리, 자재관리, 품질, 품질검사, 품질관리, 기구설계, 기술연구소, 기술직, 생명공학, 생산기술, 실험, 에너지, 연구관리, 연구원, 원자력, 제품개발, 플라스틱·PVC, 화학, 환경, R&D, 바이오, 임상개발, 유전공학, 제약PM, 경영기획, 경영분석, 기업심사, 컨설턴트, 생명공학, 정보통신·IT, 신소재개발, 연구·실험·기술, 제조·공정, 화학·섬유"
쿠팡이츠서비스(유),                                [100만원 추가지원] 이츠친구 채용 (강남/송파)                            ,경력무관,학력무관,서울 외,서울 강남구 외,~12/31(금),"배송, 운송, 육상운송, 퀵서비스, 택배, 마트, 물류, 유통, 판매, 편의점, 납품, 물류, 물류관리, 배송, 재고관리, 퀵서비스, 택배, 중장비운전, 화물차운전, 대리운전, 발렛파킹, 운전기사, 택시기사, 학원차량, 고객관리, 대리점관리, 영업지원, 매장관리, 판매관리, 판매영업, 주차관리, 주차관제, 발렛파킹, 주차관리, 주차안내, 주차도우미, 음식배달"
㈜바이와이제이,                                (주)바이와이제이 물류팀/홍보팀/해외사업팀/영상제작PD/촬영 및 편집 채용,신입·경력,학력무관,경기 외,경기 이천시 외,~01/03(월),"쇼핑몰, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 키워드광고, 광고관리, 홍보, 홍보기획, 물류, 원부자재구매, 자재관리, 무역영어, 수출입무역, 외자구매, 섬유, 의류, 패션, 잡화, 주얼리, 액세서리, 직물, 방송기획, PD·연출, 영상편집, 촬영보조, 카메라"
망고스틴그룹,                                2022년 디지털마케터&디자이너&PD&MD 채용,신입·경력1년↑,초대졸↑,서울 외,서울 강남구 외,~01/08(토),"유튜버, 유튜브, 인플루언서, 광고기획, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 언론홍보, 홍보, 홍보기획, PR, SNS운영, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 키워드광고, 웹사이트운영, 일러스트레이터, 자바스크립트, 포토샵, 플래쉬, HTML, 3DMax, 방송CG, 영상편집, 프리미어, 인코딩, 파이널컷, 그래픽디자인, 시각디자인, 일러스트레이터, 포토샵, 광고디자인, 디지털디자인, 시각디자인, 영상편집, 촬영보조, 카메라, 포토샵, 프리미어, 연예기획·캐스팅"
전우APS,                                [(주)전우에이피에스 승용]  콜센터 영업팀/구매팀/물류팀 신입 및 경력 채용 [서울 영등포/서울 성동 /광주광역시]                            ,신입·경력,학력무관,서울 외,서울 영등포구 외,상시채용,"입출고관리, 자동차부품, SAP, 물류창고, 수입차 부품, 운전면허1종, 자동차부품 영업, 자동차 부품, 택배포장, 화물포장, 콜센터, 검사소, 경정비, 자동차정비, 중정비, 카센터, A·S센터, 물류, 물류관리, 물류센터, 배송, 보관, 입출고관리, 출하, 택배, 무역업, 상사, 유통, 유통관리, 판매, 자동차, 자동차부품, 자동차정비, 조선, 철강, 항공, 물류, 원부자재관리, 원부자재구매, 자재관리, 자재통합, 창고관리, 무역, 무역사무, 무역영어, 수출입무역, 통관, 납품, 물류, 물류관리, 배송, 재고관리, 창고관리, 중장비운전, 화물차운전, 구매관리, 물류관리, 물류센터, 상품입출고, 외자구매, 유통관리, 자재관리, 자재구매, 자재구매기획, 자재통합, 재고관리, 국내영업, 납품영업, 일반영업, 자동차영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리, 아웃바운드TM, 해피콜, 회원관리, 고객상담, 고객응대, 고객지원, 인바운드TM, 콜센터, 택배·운송, CS, 고객관리, 단순홍보, 서비스홍보, 제품홍보, 회원관리"
㈜지엔엠라이프,                                마케팅(기획) 및 경영지원(회계) 경력 채용,경력1년↑,학력무관,서울 외,서울 영등포구 외,~03/09(수),"건강식품, 자사몰, 작문, 자연의 품격, 자연의품격, 지엔엠, 홈쇼핑, MD, 상품기획, 소셜커머스, 쇼핑몰, 오픈마켓, 건강식품, 식품가공, 4대보험, 결산, 경리, 경영지원, 관리회계, 급여관리, 더존, 부가세신고, 세무, 원가회계, 전산회계, 전표입력, 출납, 판매관리, 회계, 결산, 세무, 재무, 재무기획, 재무회계, 마케팅, 마케팅기획, 시장분석, 프로모션, 브랜드, 홍보, 홍보기획, PR, 가맹점관리, 거래처관리, 매출관리, 영업관리, 영업지원, 채권관리, 웹기획, 웹서비스기획, 컨텐츠기획, 온라인마케팅, 웹마케팅, 웹프로모션, 쇼핑몰, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 식품, 카피라이터"
㈜더블미디어,                                [팬더티비]운영팀 직원채용 (CS고객상담/모니터링)                            ,신입·경력,학력무관,서울 외,서울 강남구 외,~01/01(토),"인터넷방송, 사무보조, 전산입력, 고객상담, 고객응대, 고객지원, CS, 고객관리, 게시판관리, 웹사이트운영, 컨텐츠관리"
오텍오티스파킹시스템(유),"                                경영지원, 공항사업, ICT개발 채용",신입·경력1년↑,초대졸↑,서울 외,서울 영등포구 외,~12/28(화),"정보처리기사, 인천공항, 전기공사기사, 주차설비, 플랫폼 개발, 플랫폼, AWS, ICT, java Script, Platform 개발, 정보처리기사, 결산, 경리, 경영지원, 관리회계, 급여관리, 더존, 부가세신고, 세무, 원가회계, 전산회계, 전표입력, 회계, 회계감사, ERP운용, 감사, 결산, 재무회계, 데이터베이스, MySQL, 데이터마이닝, MySQL, 응용프로그래머, 전산전공, API, C, C#, Java, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, HMI, MMI, PLC, 자바스크립트, 사물인터넷(IoT), 데이터분석, 설계엔지니어, 임베디드, 전기, 전기·전자회로, 전기설비, 펌웨어, 회로설계, 산업안전, 전기공사, 전기기사, 전기설비, 기계관리, 산업안전, 산업안전기사, 신호관제, 안전, 전기공사, 전기관리, 주차관제, 항공관제, 공항지상직, 전기·전자, 정보통신·IT"
㈜휴텍이앤이,"                                PLC, HMI 엔지니어 채용",경력,초대졸↑,경기,경기 안양시,~01/10(월),"전기제어, 제어, MMI, PLC, HMI, PLC, 시스템설계, 시스템엔지니어, 하드웨어, 소프트웨어, 기술직, 생산기술, 연구관리, 제어, 기술직, 생산기술, 유지보수, 전기, 전기·전자회로, 전기설비, PLC, 전기설계, 공업디자인, 전기설비, 전기·전자"
㈜폴레드,                                POLED 하반기 각 부문 정규직 채용,경력무관,학력무관,서울 외,서울 강남구 외,~12/29(수),"디자이너, UI·UX디자인, 생활용품, 소비재, 관리, 문서관리, 사무관리, 사무행정, 총무, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 업무제휴, 프로모션, AE, BM, 가맹점관리(SV), 리테일MD, 물류, 물류관리, 상품기획, 상품입출고, 신상품개발, 온라인MD, 재고관리, MD, VMD, 국내영업, 일반영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 웹기획, 제안·컨설팅, 컨텐츠기획, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 웹UI, 일러스트레이터, 포토샵, HTML, UI·UX디자인, 편집디자인(IBM), 편집디자인(MAC), 가구디자인, 산업디자인, 제품디자인, 패키지디자인, POP디자인, Sign디자인, 광고디자인, 시각디자인, 아트디렉터, 크리에이티브디렉터"
㈜퍼시픽링스코리아,                                퍼시픽링스 2022년 상반기 대규모 채용,신입·경력,학력무관,서울,서울 강남구,~01/05(수),"JavaScript, jquery, UI·UX디자인, 골프강사, 골프장, 골프장클럽하우스, 생활체육, 스포츠, 공무, 사무행정, 임금관리, 자산관리, 총무, 교육, 교육기획, 급여관리, 인사, 인사통합, 경리, 경영지원, 관리회계, 전산회계, 출납, 회계, 마케팅, 마케팅기획, 시장분석, 업무제휴, 가맹점영업, 국내영업, 법인영업, 금융영업, 보험영업, 자산관리, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 매출관리, 영업관리, 영업기획, 법인영업, 일반영업, 고객상담, 고객응대, 고객지원, 인바운드TM, CS, 고객관리, 홍보상담, 회원관리, 모바일기획, 웹기획, 웹서비스기획, 제안·컨설팅, 컨텐츠기획, 웹프로그래머, MySQL, php, 응용프로그래머, Linux, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 웹퍼블리셔, CSS, HTML5, HTML코딩, UI·UX, 모바일UI, 웹UI, 일러스트레이터, 포토샵, CSS, HTML, UI·UX디자인, 승무원, 여행사, 컨시어지, 예약·발권, 골프장, 레저, 생활체육, 스포츠, 교육기획, 교육진행, 교육프로그램, 동시통역, 번역, 영어, 중국어, 통역"
㈜아이스크림에듀,                                고객감동/기술지원 상담원 채용,경력무관,학력무관,서울,서울 강남구,~12/31(금),"교재제작, 인터넷교육, 컨텐츠, 아웃바운드TM, 학습지·학원, 해피콜, 회원관리, 고객상담, 고객응대, 고객지원, 교육·출판, 인바운드TM, 콜센터, 학습지업체, CS, 검사, 기술지원, 설치, 수리, 유지보수, A·S"
㈜콕스인터랙티브,"                                퍼포먼스마케팅 / 디자인 경력 채용 (AE, 마케팅, 디자인, MD 등)                            ",신입·경력,학력무관,서울,서울 송파구 외,~02/04(금),"퍼포먼스마케팅, 광고기획, 광고제작, 온라인광고, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 퍼블리싱, 프로모션, AE, CMO, CRM, IMC, BM, 브랜드, 홍보, 홍보기획, PR, SNS운영, 식품MD, 온라인MD, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, 게시판관리, 웹사이트운영, 컨텐츠관리, 컨텐츠에디터, 3DMax, 방송CG, 영상편집, 프리미어, 인코딩, 파이널컷, 광고디자인, 디지털디자인, 시각디자인, 아트디렉터, 영상디자인, 포스터디자인, 크리에이티브디렉터, 광고기획, 광고제작, 광고PD, 브랜딩, 아트디렉터, 카피라이터, 포지셔닝, AE, CF, CM플래너, PPL, SIGN"
미다스코리아,                                증권사업부 [신입] 채용 / 고정 기본급 / 각종 인센티브 / 평균 500이상 수령 / 영업관리 / 증권영업 / 주식영업 / TM / 주식TM / 아웃바운드 / 상장주식                            ,신입·경력,학력무관,서울 외,서울 금천구 외,~12/31(금),"주식영업, 증권영업, 금융, 텔러, 투자상담, 투자자문, 보험영업, 개인고객영업, 금융영업, 증권, 투자상담, 고객관리, 영업관리, 일반영업, 보험, 아웃바운드TM, 증권·보험, 해피콜, 회원관리, 고객상담, 고객응대, 고객지원, 증권·투신, 콜센터, 고객관리, 단순홍보, 홍보상담, 회원관리"
㈜밸류엔지니어링,                                2021년 12월 부문별 공개 채용 (복지 우수 기업)                            ,신입·경력,고졸↑,경기,경기 이천시 외,~12/31(금),"사상, 세정, 반도체, 반도체생산, 반도체장비, 회로설계, LCD, 기계, 기계설계, 기계설비, 메카트로닉스, 포장기계, CAD, CNC, MCT, 화학, 관리, 문서관리, 사무관리, 사무행정, 시설관리, 전산입력, 전산편집, 전산회계, 원부자재구매, 자재관리, 자재구매, 납품, 물류, 국내영업, 납품영업, 장비영업, 기술영업, 기술지원, 반도체영업, 납품관리, 납품영업, 일반영업, 장비영업, 공정, 생산, 생산관리, 자재관리, 품질, 품질검사, 품질관리, 품질보증, 금속, 기계, 기능직, 생산직, 설비, 연마, 와이어, 제조, 조립, 기능직, 도금, 생산직, 코팅, 포장, 금속, 기계, 기술연구소, 기술직, 메카트로닉스, 생산기술, 제품개발, catia, 반도체, 생산기술, 기구설계, 기술연구소, 기술직, 생산기술, 연구관리, 연구원, 제품개발, 화학, 설계엔지니어, 유지보수, 전기·전자회로, 테스트엔지니어, 품질엔지니어, 회로설계, RF, 2D, 3D설계, 기계설계, 전기설계, AutoCad, CAD, CAM, catia, Pro-e, 품질관리, 전기·전자, 기계·자동차, 제조·공정, 화학·섬유"
㈜히어링메딕스,"                                ㈜히어링메딕스 2022 정규직 채용(고객관리, 수입, 영업관리, 청능사)                            ",경력무관,초대졸↑,서울 외,서울 서초구 외,~01/03(월),"의료기기, 문서관리, 문서작성, 사무보조, 워드, 전산입력, 전산편집, 정보처리, Excel, 무역일반, 영어, 해외마케팅, 해외영업, MD, 무역, 무역사, 무역사무, 무역영어, 수출입무역, 오더관리, 가맹점영업, 국내영업, 기술영업, 납품영업, 법인영업, 일반영업, 장비영업, 제약영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 영업관리, 영업지원, 기술영업, 납품영업, 법인영업, 일반영업, 장비영업, 제약영업, 고객상담, 고객응대, 고객지원, 인바운드TM, 콜센터, CS, 고객관리, 회원관리, 안내, 코디네이터, 원무행정, 접수, 기타의료직"
㈜페리도트,                                [PENTAHEAL] 각 부문 신입/경력 공개채용 (매니저/AMD/영상기획편집/디자인)                            ,신입·경력,초대졸↑,서울,서울 강남구 외,~12/31(금),"매니저, 쇼핑몰, 문서관리, 문서수발, 사무관리, 사무행정, 총무, 비서, 안내, 인포메이션, 문서관리, 문서작성, 사무보조, 전산입력, Excel, OA, 경리, 급여관리, 광고기획, 바이럴마케팅, 키워드광고, 물류, 자재관리, 재고관리, 물류, 물류관리, 상품기획, 온라인MD, 재고관리, AMD, 거래선개발관리, 거래처관리, 매출관리, 영업관리, 영업지원, 매장관리, 매장시설관리, 매출관리, 샵마스터, 재고관리, 진열관리, 판매관리, 카페·블로그관리, 웹표준, HTML5, HTML코딩, UI·UX, 일러스트레이터, 포토샵, 편집디자인(IBM), 편집디자인(MAC), 제품디자인, 패키지디자인, 방송카메라기사, 영상편집, 매니저, 슈퍼바이저"
㈜아이스크림에듀,                                IR 담당 채용,경력3년↑,학력무관,서울,서울 강남구,~12/31(금),"주가관리, 주주총회, IR, NDR, 교재제작, 인터넷교육, 컨텐츠, 공시, 주식IR"
(재)증산도유지재단,                                대전 출판사업본부(상생출판) 출판/편집디자이너 채용,신입·경력5년↑,대졸↑,대전 외,대전 중구 외,~01/01(토),"재단법인, 협회, 그래픽디자인, 시각디자인, 일러스트레이터, 포토샵, 교재편집, 맥디자인, 북디자인, 인디자인, 잡지편집, 카탈로그편집, 편집디자인(IBM), 편집디자인(MAC), 폰트·서체, QuarkXpress, 삽화·일러스트, 광고디자인, 시각디자인, 아트디렉터, 잡지광고, 전단지디자인, 정보디자인, 포스터디자인, 출력, 출판, 출판기획, 편집, 교수설계, 교재컨텐츠개발"
㈜넥서스원,"                                분야별[소프트웨어 개발/영업/전기,전자] 채용[신입/경력]                            ",신입·경력,초대졸↑,경기 외,경기 화성시 외,상시채용,"자동제어, 전기설계, 전기제어, 영어, 중국어, 해외마케팅, 해외영업, 무역, 무역사, 무역사무, 무역영어, 수출입무역, 오더관리, 국내영업, 기술영업, 일반영업, 장비영업, 기술영업, 반도체영업, 거래선개발관리, 거래처관리, 납품관리, 매출관리, 영업관리, 영업기획, 영업지원, 네트워크관리, 보안관리, 보안관제, 서버관리자, 서버구축, 정보보안, Cisco, Linux, Solaris, 모바일기획, 웹기획, 웹서비스기획, 정보설계, 제안·컨설팅, PM, 응용프로그래머, C#, C++, VisualC++, 시스템프로그래머, 펌웨어, PLC, 기계, 기계, 기구설계, 기술연구소, 기술직, 연구관리, 연구원, 제품개발, R&D, 디스플레이, 반도체, 전기·전자, 제어, 터치스크린, 회로설계, LCD, LED·AMOLED, 배선, 어셈블리, 유지보수, 임베디드, 전기, 전기·전자회로, 전기설비, 펌웨어, 3D설계, 기계설계, CAD, CAM, 전기공사, 전기기사, 전기배선, 전기설비, 전기점검"
(주)겟앤쇼(Get & Show),                                겟앤쇼 분야별 정규직 전환형 인턴채용,신입·경력,학력무관,서울,서울 마포구 외,~12/31(금),"모바일앱개발, 소프트웨어개발, 솔루션, asp, CRM, DataMining, DataWarehouse, 소셜네트워크서비스(SNS), 컨텐츠, 포털, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 업무제휴, AE, BM, 웹프로그래머, asp, HDML, HTML, Java, MS-SQL, MySQL, php, SQL, 게시판관리, 베타테스트, 웹사이트운영, 카페·블로그관리, 컨텐츠개발, 컨텐츠관리, 3DMax, 방송CG, 영상편집, 프리미어, 인코딩, 파이널컷, 그래픽디자인, 시각디자인, 일러스트레이터, 포토샵, 방송기획, 방송엔지니어, 방송제작, 방송편성, AD·조연출, FD·연출보조, PD·연출, 방송기술, 방송송출·송신, 방송카메라기사, 방송CG, 어시스턴트, 영사기사, 영상편집, 촬영보조, 카메라, 포토그래퍼, 포토샵, 프리미어, 광고기획, 광고제작, 광고PD, 아트디렉터, 카피라이터"
