기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
에스텍시스템,                                [구로/여의도] 디큐브시티(현대백화점) 정규직 보안담당 신입사원 채용,신입·경력,고졸↑,서울,서울 구로구 외,~12/30(목),"백화점, 검문검색, 디큐브시티, 신도림, 신도림역, 출입관리, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 빌딩관리, 순찰, 시설관리, 보안, 보안검색"
에스텍시스템,                                ::(주)한국머크에서 정규직 신입사원 채용합니다.(보안팀)                            ,신입·경력,고졸↑,경기,경기 안성시 외,~12/30(목),"4대보험, 보안요원, 신입사원, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
에스텍시스템,                                삼성SDI 내 정규직 보안업무 신입사원 채용중(숙식제공)                            ,신입·경력,고졸↑,경기,경기 용인시 외,~12/30(목),"4대보험, 보안요원, 삼성SDI, 신입사원, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
에스텍시스템,                                [수원] 삼성전기 정규직 보안사원 채용중(신입/유니폼제공)                            ,신입·경력,고졸↑,경기,경기 수원시 외,~12/30(목),"4대보험, 보안요원, 신입사원, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
에스텍시스템,                                [용인]에버랜드(리조트)/삼성인력개발원 정규직 보안사원 채용(기숙사운영)                            ,신입·경력,고졸↑,경기,경기 용인시 외,~12/30(목),"4대보험, 리조트, 보안요원, 신입사원, 에버랜드, 용인, 정규직, 삼성인력개발원, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
보보스링크㈜,                                [대구/엑셀상]대기업 보험사 센터 총무 직원 채용,신입·경력,고졸↑,대구,대구 달서구 외,~03/22(화),"신용협동조합, 저축은행, 종합금융, 캐피탈, 텔러, 비품관리, 사무관리, 사무행정, 총무, 문서작성, 사무보조, 전산편집, Excel, OA, 보험영업"
코오롱엘에스아이㈜,                                [코오롱LSI] AM사업부 부동산PM 경력직 채용모집                            ,경력3년↑,초대졸↑,경기,경기 과천시 외,~01/08(토),"PM, 부동산자산관리, 수주, 영업, 관광, 리조트, 콘도, 호텔, 노무, 노사관리, 인사, 결산, 예산관리, 전표입력, 회계, 견적·시세, 공인중개사, 부동산, 임대·임대컨설팅"
보보스링크㈜,                                [화성동탄] 세라젬 화성동탄호수공원점 부점장/서비스매니저 채용,경력무관,학력무관,경기,경기 화성시 외,상시채용,"매장관리, 바리스타, 판매관리, 수퍼바이저, CS교육, 간호조무사, 산부인과, 한의원, 수술실보조, 치과조무사"
보보스링크㈜,                                [인천] 세라젬 인천 논현점/도화점 서비스(카페)매니저 채용,경력무관,학력무관,인천,인천 남동구 외,상시채용,"매장관리, 바리스타, 판매관리, 수퍼바이저, CS교육, 간호조무사, 산부인과, 한의원, 수술실보조, 치과조무사"
에스텍시스템,                                ::삼성로지텍:: (평택/고덕) 정규직 보안사원 채용합니다.                            ,신입·경력,고졸↑,경기,경기 평택시 외,~12/30(목),"정규직, 로지텍, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
에스텍시스템,                                [기숙사ㅇ] 삼성웰스토리 정규직 보안사원 채용중                            ,신입·경력,고졸↑,경기 외,경기 평택시 외,~12/30(목),"보안요원, 정규직, 평택, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
에스텍시스템,                                한국 복합물류 정규직 보안사원 채용합니다(군포)                            ,신입·경력,고졸↑,경기,경기 군포시 외,~12/30(목),"군포, 보안요원, 복합물류, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
에스텍시스템,                                [평택/삼성물산] 보안담당 주간고정/교대조 근무자 채용(기숙사ㅇ)                            ,신입·경력,고졸↑,경기 외,경기 평택시 외,~12/30(목),"고덕, 삼성물산, 삼성ENG, 주간고정, 평택, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
에스텍시스템,                                ::삼성로지텍:: (이천덕평/식사제공) 정규직 보안사원 채용합니다.                            ,신입·경력,고졸↑,경기 외,경기 이천시 외,~12/30(목),"이천, 정규직, 로지텍, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
에스텍시스템,                                [인천/송도/주간고정] 삼성엔지니어링 정규직 보안사원 채용합니다.                            ,신입·경력,고졸↑,인천 외,인천 연수구 외,~12/30(목),"보안사원, 삼성엔지니어링, 인천, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
에스텍시스템,                                [인천/송도] 바이오로직스 정규직 보안사원 채용합니다.                            ,신입·경력,고졸↑,인천 외,인천 연수구 외,~12/30(목),"빌딩, 공장, 공사현장, 바이오로직스, 삼성엔지니어링, 바이오에피스, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
